week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_gmv,bathroom cabinets_gmv,bathroom fixture parts_gmv,bathroom fixtures_gmv,bathroom shelves_gmv,bathroom vanities and sink consoles_gmv,medicine cabinets_gmv,towel bars and hooks_gmv,towels_gmv,vanity stools and benches_gmv,vanity tops and side splashes_gmv
2020-05-11,pre,18468.0,1784.0,28630.0,57577.0,1191.0,72756.0,3903.0,7089.0,3846.0,1058.0,639.0,11582.449999999997,3377.0,9630.229999999998,69355.73999999999,729.93,226120.69,10930.869999999999,6171.9800000000005,504.95,816.0,729.0
2020-05-18,pre,10497.0,1722.0,10265.0,33954.0,966.0,83850.0,4137.0,3182.0,1546.0,960.0,698.0,12201.859999999999,1349.58,12828.47,53809.590000000004,1461.4,300412.61,18173.739999999998,4867.85,653.7600000000002,1287.95,99.97999999999999
2020-05-25,pre,7312.0,1506.0,6779.0,24227.0,531.0,72964.0,3415.0,2240.0,475.0,785.0,689.0,13057.289999999999,2899.0,10929.379999999997,47115.630000000005,479.92,317502.9,18566.239999999998,5934.0,857.7900000000001,1024.35,873.49
2020-06-01,pre,6838.0,1618.0,6565.0,26177.0,561.0,83437.0,3392.0,1997.0,266.0,602.0,559.0,12449.89,2223.54,9137.69,45099.15,970.08,235374.38999999998,10319.66,3428.65,79.96000000000001,1062.0,103.98
2020-06-08,pre,7379.0,1721.0,6598.0,27013.0,622.0,88479.0,4231.0,2064.0,525.0,659.0,508.0,10785.669999999995,6011.0,10626.96,58255.2,150.0,285339.79,18418.0,3940.23,429.7800000000001,3632.0,2626.0
2020-06-15,pre,7283.0,1723.0,5390.0,23769.0,555.0,65432.0,3853.0,2464.0,485.0,663.0,587.0,9993.699999999999,5166.719999999999,8602.859999999999,51757.66,90.0,277053.45,10104.04,6676.21,600.82,2255.7799999999997,1857.98
2020-06-22,pre,8210.0,1901.0,4935.0,23617.0,668.0,77428.0,3982.0,2365.0,430.0,659.0,720.0,10328.910000000002,1375.04,8565.41,56700.79000000001,2361.03,247665.55,11975.130000000001,5207.209999999999,283.49,1790.2,892.2
2020-06-29,pre,8190.0,1653.0,4737.0,23625.0,700.0,84485.0,4010.0,2158.0,458.0,790.0,612.0,10688.749999999998,1712.0,10887.47,43988.83000000001,641.74,331765.30000000005,16996.010000000002,3560.41,810.6800000000001,2265.99,312.79
2020-07-06,pre,7707.0,1729.0,5635.0,26197.0,587.0,93668.0,4493.0,2193.0,225.0,795.0,594.0,9854.619999999997,2029.65,11237.970000000001,68384.98999999999,1482.94,322666.94,17342.63,5329.280000000001,186.32,2151.17,1149.0
2020-07-13,pre,8160.0,1524.0,5742.0,26825.0,608.0,87867.0,4563.0,2371.0,375.0,902.0,817.0,9690.199999999997,5909.02,10787.22,51391.17,270.0,293355.53297169815,12314.2,4510.25,323.81,1686.1100000000001,807.0
2020-07-20,pre,7928.0,1365.0,5635.0,25294.0,555.0,73821.0,4320.0,2687.0,260.0,772.0,638.0,11083.859999999999,3067.6,10887.119999999999,55262.37,139.22,281303.59,11319.27,5778.84,207.56,1339.31,700.2
2020-07-27,pre,7487.0,1461.0,5505.0,25711.0,470.0,73170.0,4170.0,2525.0,264.0,996.0,460.0,9059.660000000002,1230.77,11975.190000000002,46786.54,508.94,275920.91,7642.3099999999995,6664.5,197.01,2098.4,289.4
2020-08-03,pre,7569.0,1617.0,5977.0,25428.0,518.0,73539.0,4368.0,2385.0,187.0,1199.0,612.0,9961.849999999999,2646.76,9820.96,50810.03999999999,783.5600000000001,331942.48,12091.5,6197.35,74.34,1175.29,0.0
2020-08-10,pre,7462.0,1973.0,7999.0,27079.0,634.0,80883.0,4535.0,2653.0,154.0,964.0,632.0,11323.27330058062,3096.59,9472.240000000002,77730.35999999999,1192.88,315957.65,16224.27,4965.62,221.23000000000002,1523.0,0.0
2020-08-17,pre,7979.0,1871.0,7660.0,28707.0,534.0,84509.0,4685.0,2355.0,107.0,960.0,694.0,8551.01,4162.6900000000005,9485.56,64367.39000000001,273.0,378250.99,18558.08,4223.71,58.0,3086.2,0.0
2020-08-24,pre,7672.0,2028.0,7004.0,30172.0,653.0,96789.0,4456.0,2652.0,190.0,974.0,697.0,11161.829999999996,3761.0,10965.199999999999,55851.079999999994,842.6600000000001,363412.14,16655.050000000003,5324.95,230.04000000000002,1471.16,53.5
2020-08-31,pre,7319.0,1621.0,6660.0,32148.0,526.0,96119.0,4795.0,2455.0,389.0,940.0,665.0,11618.75,1637.25,11416.59,74872.34999999999,565.0,332026.24,17648.33,6124.4800000000005,209.99,1261.41,53.97
2020-09-07,pre,11227.0,1927.0,7691.0,31241.0,633.0,92088.0,4620.0,2711.0,370.0,1012.0,623.0,10949.490000000002,6612.110000000001,12385.470000000001,61201.48,613.16,327487.24,23525.04,7084.08,237.81,2307.5099999999998,91.96
2020-09-14,pre,10687.0,1840.0,13129.0,40851.0,783.0,89433.0,4625.0,3853.0,331.0,1243.0,1261.0,8438.379999999997,3231.0,11950.1,52116.16,534.5699999999999,345919.41,19797.79,6219.93,35.0,902.19,474.5
2020-09-21,pre,14511.0,2098.0,29011.0,80666.0,1195.0,124014.0,5159.0,6223.0,751.0,1178.0,923.0,9647.150000000001,5183.58,14871.76,48529.27999999999,478.88,326991.84,11526.54,6011.14,181.18,1123.3899999999999,2194.09
2020-09-28,pre,12304.0,1799.0,28555.0,74234.0,1268.0,113463.0,4839.0,6035.0,689.0,1295.0,1165.0,10629.34,2508.06,6669.16,49694.67999999999,364.93,405859.60000000003,24862.86,6574.62,209.0,1624.8400000000001,130.78
2020-10-05,pre,10210.0,1810.0,27076.0,71903.0,1234.0,90114.0,4447.0,6004.0,592.0,1184.0,1224.0,7460.059999999999,6152.0,12228.149999999998,63783.12,719.62,376366.44,16356.03,5719.5199999999995,422.99,3782.1,191.0
2020-10-12,pre,11850.0,2058.0,31096.0,75044.0,1241.0,87837.0,4774.0,6719.0,752.0,1326.0,934.0,10964.569999999996,1804.0,11884.31,61374.78,1354.0,371386.13999999996,11546.99,7577.48,189.97000000000003,2185.0,1414.0
2020-10-19,pre,11238.0,1811.0,29726.0,70392.0,1197.0,95061.0,4880.0,6656.0,498.0,1249.0,484.0,8487.15,4064.0,10610.259999999998,51741.13000000001,154.99,379531.85000000003,21501.2,5115.84,267.0,2500.52,2450.0
2020-10-26,pre,11707.0,1798.0,29968.0,74961.0,1301.0,89619.0,5526.0,7386.0,530.0,1047.0,463.0,9444.619999999997,2458.0,13504.96,62597.520000000004,690.99,362397.48,21060.5,4206.94,238.99,1527.0,726.0
2020-11-02,pre,11033.0,1668.0,25652.0,67928.0,1207.0,86916.0,5021.0,5843.0,287.0,953.0,415.0,9255.209999999997,2051.0,12756.429999999998,56548.520000000004,184.0,359633.23000000004,17076.0,5615.259999999999,141.0,312.25,0.0
2020-11-09,pre,9212.0,2002.0,24093.0,71864.0,1377.0,80144.0,5369.0,6146.0,426.0,1107.0,427.0,8988.22,3555.0,14143.779999999999,51096.149999999994,1553.99,389644.23,19144.0,5187.58,284.99,1909.0,650.6
2020-11-16,pre,9556.0,1815.0,23697.0,73030.0,1677.0,83868.0,4847.0,7509.0,615.0,1397.0,453.0,11061.109999999999,5249.0,14602.539999999999,54829.079999999994,1090.98,334441.87999999995,20394.0,4597.629999999999,517.98,4439.0,32.99
2020-11-23,pre,9004.0,1599.0,19535.0,71816.0,1622.0,80766.0,4560.0,7342.0,551.0,1160.0,382.0,8203.829999999998,2823.0,10478.939999999999,60832.33,141.99,359205.66,11348.0,6213.449999999999,1024.99,4258.0,688.0
2020-11-30,pre,11028.0,1681.0,23844.0,73627.0,1389.0,83838.0,5534.0,7019.0,331.0,1259.0,519.0,12660.279999999999,5029.0,13215.97,71143.35999999999,262.99,412131.41,15780.0,7252.12,801.98,5377.45,940.0
2020-12-07,pre,11030.0,1787.0,24099.0,72660.0,1514.0,77206.0,5583.0,7081.0,433.0,1017.0,334.0,10413.549999999997,6210.0,6524.179999999999,54190.840000000004,656.0,356109.35,17063.0,7671.929999999999,1119.97,2682.0,458.0
2020-12-14,pre,8960.0,1600.0,22461.0,70023.0,1454.0,69341.0,4768.0,6876.0,758.0,871.0,448.0,7552.9299999999985,5511.99,11977.01,55690.04,894.0,294778.06999999995,21781.0,7420.959999999999,2228.9799999999996,846.55,0.0
2020-12-21,pre,8580.0,1855.0,20429.0,67603.0,1373.0,73770.0,6113.0,6852.0,217.0,789.0,350.0,6717.879999999999,4645.0,7902.129999999999,44063.72,211.0,249400.71,10660.0,5779.08,544.0,1792.8,0.0
2020-12-28,pre,11839.0,2757.0,25068.0,74737.0,1839.0,119804.0,8335.0,8144.0,242.0,1382.0,477.0,10723.359999999997,4519.0,12547.88,64312.45999999999,727.99,417121.52,31271.0,14509.74,498.0,2288.68,38.0
2021-01-04,pre,9973.0,2682.0,23690.0,70220.0,1726.0,105444.0,7086.0,7590.0,580.0,1229.0,472.0,9581.14,6487.0,15600.399999999998,68404.07999999999,762.0,364743.16,29198.0,6276.5,582.0,4130.9,0.0
2021-01-11,pre,11248.0,2308.0,23404.0,72639.0,1631.0,107519.0,7608.0,7553.0,379.0,1335.0,480.0,9581.069999999998,4806.0,14846.089999999998,81987.07,565.0,443701.6099999999,35798.0,9409.97,317.99,1378.0,52.0
2021-01-18,pre,11706.0,2587.0,25794.0,73994.0,1702.0,113544.0,8127.0,7973.0,190.0,1543.0,518.0,11649.979999999998,7362.0,10893.14,72423.32999999999,647.0,406936.0,33686.0,7651.629999999999,284.99,3529.04,0.0
2021-01-25,pre,16286.0,2640.0,42846.0,97745.0,1928.0,151487.0,8049.0,11179.0,462.0,1542.0,686.0,15048.139999999996,2471.0,25923.222985074626,75159.43,996.0,456910.74000000005,22183.0,9415.529999999999,226.0,4358.43,51.99
2021-02-01,pre,15812.0,2050.0,52808.0,105462.0,1867.0,141354.0,6754.0,13920.0,299.0,1487.0,546.0,12333.749999999996,6401.0,18254.71,80217.97,650.99,424629.56,28066.0,7698.969999999999,152.0,1561.0,950.0
2021-02-08,pre,13819.0,1755.0,47699.0,88635.0,1540.0,108253.0,5642.0,11709.0,77.0,1428.0,472.0,12021.789999999995,4493.66,15780.949999999999,75063.88999999998,431.0,405391.42000000004,28844.0,9651.509999999998,108.0,2966.69,0.0
