week,period,dining chairs_pv,dining tables_pv,dining chairs_cm,dining tables_cm
2019-12-30,pre,19428.0,10322.0,3207.7763866503274,1825.4901369731479
2020-01-06,pre,23462.0,12821.0,3803.5644523821966,2290.762996149968
2020-01-13,pre,20650.0,12047.0,6676.73058912084,-2821.880582706409
2020-01-20,pre,23504.0,12803.0,3869.7213689227706,-2786.8078957556418
2020-01-27,pre,25057.0,13322.0,6618.855369763673,3113.2126824671845
2020-02-03,pre,26832.0,12643.0,12206.97714345428,359.3924036018328
2020-02-10,pre,22160.0,12185.0,3130.3426588798543,766.2132430067501
2020-02-17,pre,23016.0,13140.0,8268.36701245887,3026.984298515626
2020-02-24,pre,21703.0,13326.0,2609.1352338229967,1319.2131249584622
2020-03-02,pre,22958.0,12925.0,4825.084836380545,1284.8250653507962
2020-03-09,pre,19172.0,10980.0,2381.029976588651,1233.2864901551475
2020-03-16,pre,22845.0,10967.0,4384.614918933955,1797.1028054863039
2020-03-23,pre,29359.0,15320.0,3446.363618746799,3283.5799266472577
2020-03-30,pre,28245.0,13547.0,5828.855369903506,1692.4085885677418
2020-04-06,pre,28952.0,15744.0,5547.130995965177,2375.357943474106
2020-04-13,pre,36280.0,20492.0,10135.74108663278,4993.960725356972
2020-04-20,pre,41330.0,20837.0,18669.890981224482,5857.918645389079
2020-04-27,pre,40791.0,20391.0,11560.324803568903,1312.1429215950636
2020-05-04,pre,34003.0,16509.0,9737.254903689389,7997.731973432485
2020-05-11,pre,31786.0,15495.0,8259.62158991215,5504.742107377727
2020-05-18,pre,33827.0,17700.0,10500.446640571854,242.92824905359748
2020-05-25,pre,31776.0,17018.0,5036.20148991167,7056.818682792178
2020-06-01,pre,21532.0,13569.0,6059.150281580757,2880.1328583475806
2020-06-08,pre,24238.0,13713.0,9345.828382670028,1003.5086052661596
2020-06-15,pre,26105.0,15351.0,10018.04725948932,-6432.650301066365
2020-06-22,pre,29210.0,17535.0,11320.59778864257,2356.964372317139
2020-06-29,pre,29146.0,18093.0,11251.107293401423,1359.2321815191947
2020-07-06,pre,29852.0,16891.0,9339.44398583599,4866.5744584616705
2020-07-13,pre,30303.0,16545.0,9152.474512150144,-5315.837488694541
2020-07-20,pre,28748.0,16403.0,8788.557675957043,2785.3853562875083
2020-07-27,pre,28637.0,15975.0,9079.552372180091,1664.2259356714585
2020-08-03,pre,29401.0,16460.0,16152.620250419506,6061.364555617506
2020-08-10,pre,33761.0,18827.0,15687.942534082305,9008.299151590974
2020-08-17,pre,35045.0,21304.0,8538.322852960362,8120.572856283916
2020-08-24,pre,33263.0,21280.0,13038.81205222135,3962.5007124083118
2020-08-31,pre,33339.0,20171.0,7971.221304460436,-9.563084183492037
2020-09-07,pre,42562.0,25049.0,14930.69421506692,-654.8757684611444
2020-09-14,pre,43018.0,21825.0,9921.2373305977,4809.058727378465
2020-09-21,pre,34439.0,18555.0,10478.711343660263,2727.717323848593
2020-09-28,pre,33462.0,17630.0,10095.307853109178,11396.143830410861
2020-10-05,pre,34324.0,18005.0,11739.271229203303,-532.9304780564131
2020-10-12,pre,32955.0,17854.0,8963.971564959309,7452.813423008662
2020-10-19,pre,29247.0,17292.0,14849.617028588891,2367.784583482072
2020-10-26,pre,26065.0,16840.0,12447.358512626612,-2845.573359120771
2020-11-02,pre,27020.0,17782.0,17733.179096624717,6007.682490369809
2020-11-09,pre,31765.0,20358.0,9733.12322344636,4361.079152992139
2020-11-16,pre,34019.0,21484.0,18471.363301313097,2469.4796001796744
2020-11-23,pre,36688.0,24020.0,11737.373866458996,3798.865622644002
2020-11-30,pre,32664.0,17480.0,7128.05488695277,1833.0624059883867
2020-12-07,pre,27553.0,15970.0,8940.31054982693,4416.226788457643
2020-12-14,pre,26490.0,15322.0,9980.909764376262,-1041.8629971570022
2020-12-21,pre,24175.0,14525.0,14840.117610296387,2479.8691071912076
2020-12-28,pre,37220.0,23149.0,10886.644387087294,-3779.458811449958
2021-01-04,pre,32140.0,18572.0,7048.349905869196,-4104.305672580929
2021-01-11,pre,35692.0,18787.0,9218.13810371346,1093.093037295103
2021-01-18,pre,39569.0,19887.0,8042.202894364908,3138.227821757436
2021-01-25,pre,33335.0,20574.0,10258.901206221088,-1236.3538658689572
2021-02-01,pre,31928.0,18754.0,7465.756897920488,362.5382670629888
2021-02-08,pre,30857.0,19229.0,10361.008171077103,-1525.2694363570026
2021-02-15,pre,41018.0,21669.0,16109.919791985874,4004.423085688101
2021-02-22,pre,36172.0,19077.0,10351.934813320184,115.10344941357349
2021-03-01,pre,28426.0,17995.0,11458.258320504992,3853.2145399515384
2021-03-08,pre,28764.0,19079.0,12210.842296688013,6867.435699674633
2021-03-15,pre,30737.0,19364.0,15913.069645040763,6479.689579088763
2021-03-22,pre,27932.0,17410.0,15322.358880269836,5032.114951033688
2021-03-29,pre,25404.0,16470.0,12032.836975736605,1143.1857037385344
2021-04-05,pre,28248.0,16955.0,9604.57496396621,-1383.6632293619
2021-04-12,pre,31929.0,18841.0,9472.785569735574,205.07539470381795
2021-04-19,pre,34936.0,21960.0,14528.539812572335,1702.5752258093546
2021-04-26,pre,30702.0,21246.0,10848.52378890469,-5372.4428291031145
2021-05-03,pre,32812.0,19154.0,10073.422672779365,1630.710439054927
2021-05-10,pre,31781.0,18682.0,1465.4434113868367,6968.13024623474
2021-05-17,pre,27652.0,18598.0,7083.376441547312,3129.3771098488387
2021-05-24,pre,29900.0,20830.0,13746.820995075437,-221.03790315124937
2021-05-31,pre,27585.0,21638.0,6339.933963462983,3071.0831492201214
2021-06-07,pre,26110.0,19672.0,4670.067766481997,-513.6399610518001
2021-06-14,pre,26636.0,24007.0,10152.904098716304,-7369.798408195224
2021-06-21,pre,28226.0,25335.0,6213.845805403345,-11644.40946004995
2021-06-28,pre,30142.0,26648.0,14416.64987966463,-4402.043520845581
2021-07-05,pre,31183.0,28111.0,12973.516118199415,-6385.897747732075
2021-07-12,pre,30773.0,25380.0,7215.246082818409,-3557.2574095525424
2021-07-19,pre,29442.0,25104.0,7887.470806961151,261.3546143431811
2021-07-26,pre,30587.0,25850.0,9566.190310673368,-2128.3196731457556
2021-08-02,pre,31384.0,23224.0,11548.635008657915,-1920.6737839427287
2021-08-09,pre,29233.0,24130.0,9289.408305625897,-2443.93579636291
2021-08-16,pre,30347.0,24189.0,11447.033595575758,943.9565168300708
2021-08-23,pre,34244.0,23099.0,10561.477712506829,-26.970716688973084
2021-08-30,pre,36165.0,24822.0,10830.668665878255,-436.4213808310644
2021-09-06,pre,39626.0,26323.0,17917.53441184121,1454.9162217583375
2021-09-13,pre,41346.0,26292.0,14363.011364852477,2356.5642442783083
2021-09-20,pre,35745.0,23859.0,12923.774651924334,-823.1940735158086
2021-09-27,pre,44589.0,29941.0,8833.355687966477,-1005.1908806640207
2021-10-04,pre,50507.0,28036.0,10247.70520969837,2030.5056283424738
2021-10-11,pre,38393.0,26808.0,12546.818755369775,4423.556386398826
2021-10-18,pre,38014.0,25064.0,11624.942166606523,-7013.897390050154
2021-10-25,pre,45062.0,25379.0,10117.056434411596,-563.5286509549521
2021-11-01,pre,42947.0,24991.0,15838.821885107725,-180.6562357393925
2021-11-08,pre,40545.0,26460.0,11780.156436004305,-4584.641019063576
2021-11-15,pre,10830.0,6910.0,3527.990496748016,-770.7989407614117
2021-11-15,post,27712.0,18249.0,9850.632278703833,1664.757731772371
2021-11-22,post,39638.0,24181.0,14259.395948935451,-982.5119065636694
2021-11-29,post,15643.0,9128.0,4043.931275682551,443.2382662647757
