week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_gmv,bathroom cabinets_gmv,bathroom fixture parts_gmv,bathroom fixtures_gmv,bathroom shelves_gmv,bathroom vanities and sink consoles_gmv,medicine cabinets_gmv,towel bars and hooks_gmv,towels_gmv,vanity stools and benches_gmv,vanity tops and side splashes_gmv
2020-05-11,pre,18357.0,1742.0,29125.0,58045.0,1170.0,71412.0,3825.0,7098.0,3807.0,1060.0,827.0,11618.439999999999,3377.0,9630.23,69438.73999999999,729.93,226061.69,10930.869999999999,6171.98,504.95000000000005,816.0,1563.95
2020-05-18,pre,10428.0,1676.0,10360.0,34358.0,966.0,82972.0,4123.0,3218.0,1528.0,1013.0,942.0,11741.859999999997,1349.58,13215.449999999997,54848.59,1461.4,301052.32,20331.739999999998,4867.85,653.7600000000001,1287.95,450.9
2020-05-25,pre,7212.0,1485.0,6836.0,24703.0,535.0,72285.0,3380.0,2299.0,473.0,831.0,888.0,12827.289999999997,2420.0,10929.379999999997,47943.6,479.92,307999.57999999996,18566.239999999998,5934.0,857.79,1503.6,911.15
2020-06-01,pre,6821.0,1633.0,6616.0,26754.0,555.0,82632.0,3389.0,2039.0,273.0,620.0,732.0,12253.869999999999,2223.54,9186.669999999998,45977.04,970.08,234870.98,11167.66,3428.6500000000005,79.96000000000001,1541.25,1245.98
2020-06-08,pre,7413.0,1727.0,6571.0,27628.0,628.0,87578.0,4243.0,2076.0,521.0,686.0,656.0,10824.259999999995,6011.0,10626.96,59761.2,150.0,278311.34,16081.0,3940.23,429.7800000000001,3632.0,1068.0
2020-06-15,pre,7251.0,1715.0,5369.0,24250.0,548.0,64329.0,3822.0,2487.0,484.0,674.0,739.0,9839.699999999999,5166.719999999999,8725.21,52337.29,90.0,277603.5,10254.04,6709.69,600.82,2255.7799999999997,2275.96
2020-06-22,pre,8176.0,1908.0,4821.0,24043.0,663.0,75797.0,3947.0,2386.0,429.0,673.0,866.0,10098.909999999994,1375.04,8352.91,57756.329999999994,2361.0299999999997,239939.01,11690.130000000001,5207.21,283.49,1790.2,923.1099999999999
2020-06-29,pre,8200.0,1653.0,4820.0,24059.0,688.0,82593.0,3988.0,2200.0,456.0,801.0,780.0,10458.75,2191.0,11118.179999999998,44239.83,641.74,321814.14,16996.01,3560.4100000000003,810.6800000000001,2052.99,312.79
2020-07-06,pre,7713.0,1735.0,5695.0,26656.0,572.0,92454.0,4475.0,2230.0,226.0,824.0,754.0,9878.319999999998,2987.65,10993.25,68735.99,1482.94,316508.92,15784.630000000001,5358.77,186.32,2151.17,1944.0
2020-07-13,pre,8203.0,1519.0,5906.0,27378.0,608.0,86835.0,4493.0,2410.0,376.0,920.0,971.0,9690.199999999999,6388.0199999999995,11203.22,53288.42,270.0,284929.5329716981,11744.2,4663.25,323.81,1686.1100000000001,1210.0
